                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.1034,                 51.552,                 4.2299,                      0,                      0,                      0,                      0,                 0.3592,                 88.321,                0.20524,                      0,                      0,                      0
                      2,                 5.0787,                 116.07,                 2.8078,                      0,                      0,                      0,                      0,                0.35874,                 88.336,                0.20501,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.0581,                 113.49,                0.61392,                      0,                      0,                      0,                      0,                0.35831,                  88.39,                 0.2048,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                  7.155,                 76.296,                 4.2397,                      0,                      0,                      0,                      0,                0.35799,                 88.433,                0.20465,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 4.9766,                 112.97,                 3.3135,                      0,                      0,                      0,                      0,                 0.3577,                 88.471,                0.20451,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 1.0181,                  109.9,                0.59701,                      0,                      0,                      0,                      0,                0.35737,                 88.541,                0.20435,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 7.0248,                 44.325,                 4.2344,                      0,                      0,                      0,                      0,                0.35715,                 88.623,                0.20425,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.27349,                 107.98,                0.15728,                      0,                      0,                      0,                      0,                0.35707,                 88.673,                0.20421,              0.0001086,              0.0001086,              0.0001086
                      9,                0.59103,                 107.51,                0.33867,                      0,                      0,                      0,                      0,                0.35701,                 88.725,                0.20419,              0.0001228,              0.0001228,              0.0001228
                     10,                0.19905,                 106.09,                0.11454,                      0,                      0,                      0,                      0,                0.35704,                 88.765,                 0.2042,             0.00013666,             0.00013666,             0.00013666
                     11,                 7.1851,                 101.42,                    4.3,                      0,                      0,                      0,                      0,                0.35715,                 88.811,                0.20427,              0.0001502,              0.0001502,              0.0001502
                     12,                 5.5628,                 107.32,                 3.2716,                      0,                      0,                      0,                      0,                0.35745,                  88.83,                0.20443,              0.0001634,              0.0001634,              0.0001634
                     13,                0.30188,                 102.73,                 0.1725,                      0,                      0,                      0,                      0,                0.35788,                 88.835,                0.20465,             0.00017628,             0.00017628,             0.00017628
                     14,                0.07186,                 101.72,                0.04103,                      0,                      0,                      0,                      0,                0.35834,                 88.834,                0.20488,             0.00018882,             0.00018882,             0.00018882
                     15,                0.05844,                 100.32,                0.03268,                      0,                      0,                      0,                      0,                0.35889,                 88.831,                0.20517,             0.00020103,             0.00020103,             0.00020103
                     16,                 7.0639,                 31.161,                  4.149,                      0,                      0,                      0,                      0,                0.36012,                 88.774,                 0.2058,             0.00021292,             0.00021292,             0.00021292
                     17,                 3.3501,                 98.091,                 1.9121,                      0,                      0,                      0,                      0,                0.36166,                 88.723,                0.20659,             0.00022447,             0.00022447,             0.00022447
                     18,                0.46102,                 95.145,                 0.2637,                      0,                      0,                      0,                      0,                0.36166,                 88.723,                0.20659,              0.0002357,              0.0002357,              0.0002357
                     19,                 7.1511,                 68.735,                 4.0911,                      0,                      0,                      0,                      0,                0.36417,                 88.671,                0.20788,             0.00024659,             0.00024659,             0.00024659
                     20,                0.16289,                 93.911,                0.09263,                      0,                      0,                      0,                      0,                0.36417,                 88.671,                0.20788,             0.00025715,             0.00025715,             0.00025715
                     21,                 3.9857,                 96.073,                 2.2452,                      0,                      0,                      0,                      0,                0.36743,                  88.61,                0.20955,             0.00026739,             0.00026739,             0.00026739
                     22,                 1.5269,                 92.578,                0.85697,                      0,                      0,                      0,                      0,                0.36743,                  88.61,                0.20955,             0.00027729,             0.00027729,             0.00027729
                     23,                 7.0772,                 88.166,                 3.9686,                      0,                      0,                      0,                      0,                0.37176,                  88.47,                0.21177,             0.00028686,             0.00028686,             0.00028686
                     24,                0.14142,                 89.324,                0.07943,                      0,                      0,                      0,                      0,                0.37176,                  88.47,                0.21177,             0.00029611,             0.00029611,             0.00029611
                     25,                0.05552,                 90.519,                0.03023,                      0,                      0,                      0,                      0,                0.37691,                 88.194,                0.21438,             0.00030502,             0.00030502,             0.00030502
                     26,                 7.1102,                 59.263,                 4.0196,                      0,                      0,                      0,                      0,                0.37691,                 88.194,                0.21438,              0.0003136,              0.0003136,              0.0003136
                     27,                  5.568,                 90.882,                 3.0515,                      0,                      0,                      0,                      0,                0.38366,                 87.617,                0.21779,             0.00032186,             0.00032186,             0.00032186
                     28,                 2.9881,                 86.912,                 1.5969,                      0,                      0,                      0,                      0,                0.38366,                 87.617,                0.21779,             0.00032978,             0.00032978,             0.00032978
                     29,                 6.2549,                 90.432,                 3.4199,                      0,                      0,                      0,                      0,                0.39286,                  86.76,                0.22242,             0.00033737,             0.00033737,             0.00033737
                     30,                 2.5226,                 85.565,                 1.3318,                      0,                      0,                      0,                      0,                0.39286,                  86.76,                0.22242,             0.00034464,             0.00034464,             0.00034464
                     31,                 6.7563,                 88.324,                  3.724,                      0,                      0,                      0,                      0,                0.40465,                 85.656,                0.22833,             0.00035157,             0.00035157,             0.00035157
                     32,                0.10672,                 82.637,                0.05455,                      0,                      0,                      0,                      0,                0.40465,                 85.656,                0.22833,             0.00035817,             0.00035817,             0.00035817
                     33,                 6.9268,                 38.905,                 3.7122,                      0,                      0,                      0,                      0,                0.42086,                 84.358,                0.23642,             0.00036445,             0.00036445,             0.00036445
                     34,                 1.1578,                 82.234,                 0.5877,                      0,                      0,                      0,                      0,                0.42086,                 84.358,                0.23642,             0.00037039,             0.00037039,             0.00037039
                     35,                  6.355,                 85.958,                 3.1776,                      0,                      0,                      0,                      0,                0.44261,                 82.781,                 0.2472,               0.000376,               0.000376,               0.000376
                     36,                  7.004,                 39.117,                 3.5028,                      0,                      0,                      0,                      0,                0.44261,                 82.781,                 0.2472,             0.00038128,             0.00038128,             0.00038128
                     37,                 7.0886,                 52.296,                 3.5155,                      0,                      0,                      0,                      0,                0.47629,                  81.12,                0.26388,             0.00038624,             0.00038624,             0.00038624
                     38,                 7.1692,                 25.837,                 3.6286,                      0,                      0,                      0,                      0,                0.47629,                  81.12,                0.26388,             0.00039086,             0.00039086,             0.00039086
                     39,                 7.0549,                 83.179,                 4.0647,                      0,                      0,                      0,                      0,                0.51413,                 79.054,                0.28239,             0.00039515,             0.00039515,             0.00039515
                     40,                 7.1132,                 78.355,                 3.5378,                      0,                      0,                      0,                      0,                0.51413,                 79.054,                0.28239,             0.00039911,             0.00039911,             0.00039911
                     41,                0.22456,                 78.688,                0.12253,                      0,                      0,                      0,                      0,                0.56315,                 76.736,                0.30619,             0.00040275,             0.00040275,             0.00040275
                     42,                 7.0093,                 72.337,                 3.4156,                      0,                      0,                      0,                      0,                0.56315,                 76.736,                0.30619,             0.00040605,             0.00040605,             0.00040605
                     43,                 7.0661,                 42.773,                 3.3553,                      0,                      0,                      0,                      0,                0.62853,                 75.179,                0.33775,             0.00040902,             0.00040902,             0.00040902
                     44,                  6.785,                 13.629,                 3.2884,                      0,                      0,                      0,                      0,                0.62853,                 75.179,                0.33775,             0.00041166,             0.00041166,             0.00041166
                     45,                 6.8974,                 20.835,                 3.1801,                      0,                      0,                      0,                      0,                0.69601,                 73.906,                0.37015,             0.00041398,             0.00041398,             0.00041398
                     46,                 6.9462,                 27.339,                 3.2205,                      0,                      0,                      0,                      0,                0.69601,                 73.906,                0.37015,             0.00041596,             0.00041596,             0.00041596
                     47,                 7.0828,                 51.926,                 3.2314,                      0,                      0,                      0,                      0,                0.77312,                 71.694,                 0.4067,             0.00041761,             0.00041761,             0.00041761
                     48,                 6.9637,                 43.264,                 3.1846,                      0,                      0,                      0,                      0,                0.77312,                 71.694,                 0.4067,             0.00041893,             0.00041893,             0.00041893
                     49,                 6.1879,                  10.95,                 2.7069,                      0,                      0,                      0,                      0,                0.79772,                 69.413,                0.41797,             0.00041992,             0.00041992,             0.00041992
                     50,                 6.6459,                 22.831,                  2.894,                      0,                      0,                      0,                      0,                0.79772,                 69.413,                0.41797,             0.00042059,             0.00042059,             0.00042059
                     51,                 5.8045,                 8.2885,                  2.759,                      0,                      0,                      0,                      0,                0.74417,                 67.453,                0.39191,             0.00042092,             0.00042092,             0.00042092
                     52,                 5.9276,                  13.97,                 3.2972,                      0,                      0,                      0,                      0,                0.74417,                 67.453,                0.39191,             0.00042092,             0.00042092,             0.00042092
                     53,                 6.3021,                 11.892,                 2.8933,                      0,                      0,                      0,                      0,                0.74417,                 67.453,                0.39191,             0.00042059,             0.00042059,             0.00042059
                     54,                 5.5243,                  27.87,                 2.8211,                      0,                      0,                      0,                      0,                0.68553,                 66.734,                0.36375,             0.00041993,             0.00041993,             0.00041993
                     55,                 4.4671,                 6.9529,                 2.6701,                      0,                      0,                      0,                      0,                0.68553,                 66.734,                0.36375,             0.00041894,             0.00041894,             0.00041894
                     56,                 5.2585,                 7.6248,                 2.5364,                      0,                      0,                      0,                      0,                0.68553,                 66.734,                0.36375,             0.00041763,             0.00041763,             0.00041763
                     57,                 5.9155,                  7.722,                 3.0647,                      0,                      0,                      0,                      0,                0.59286,                 65.803,                0.31907,             0.00041598,             0.00041598,             0.00041598
                     58,                 6.5759,                 16.952,                 2.8598,                      0,                      0,                      0,                      0,                0.59286,                 65.803,                0.31907,               0.000414,               0.000414,               0.000414
                     59,                 4.9982,                 9.0988,                 2.7713,                      0,                      0,                      0,                      0,                0.59286,                 65.803,                0.31907,             0.00041169,             0.00041169,             0.00041169
                     60,                 5.0045,                  6.094,                 2.7348,                      0,                      0,                      0,                      0,                0.55237,                 65.147,                 0.2995,             0.00040905,             0.00040905,             0.00040905
                     61,                 6.3087,                 12.356,                 2.9993,                      0,                      0,                      0,                      0,                0.55237,                 65.147,                 0.2995,             0.00040608,             0.00040608,             0.00040608
                     62,                 6.3089,                 9.1624,                   2.75,                      0,                      0,                      0,                      0,                0.55237,                 65.147,                 0.2995,             0.00040278,             0.00040278,             0.00040278
                     63,                 6.6575,                 13.478,                 2.7665,                      0,                      0,                      0,                      0,                0.60098,                 64.532,                0.32296,             0.00039915,             0.00039915,             0.00039915
                     64,                 6.5874,                 13.009,                 3.0978,                      0,                      0,                      0,                      0,                0.60098,                 64.532,                0.32296,             0.00039519,             0.00039519,             0.00039519
                     65,                 4.8094,                  6.539,                 2.4641,                      0,                      0,                      0,                      0,                0.60098,                 64.532,                0.32296,              0.0003909,              0.0003909,              0.0003909
                     66,                 5.1812,                  5.253,                 2.4435,                      0,                      0,                      0,                      0,                0.83259,                 64.815,                0.43365,             0.00038629,             0.00038629,             0.00038629
                     67,                 6.0786,                 7.7112,                 2.3393,                      0,                      0,                      0,                      0,                0.83259,                 64.815,                0.43365,             0.00038134,             0.00038134,             0.00038134
                     68,                 5.2353,                 5.2458,                 2.4625,                      0,                      0,                      0,                      0,                0.83259,                 64.815,                0.43365,             0.00037606,             0.00037606,             0.00037606
                     69,                  5.928,                 6.4424,                 2.4716,                      0,                      0,                      0,                      0,                0.93794,                 64.738,                 0.4837,             0.00037045,             0.00037045,             0.00037045
                     70,                 5.5495,                 5.8718,                 2.3776,                      0,                      0,                      0,                      0,                0.93794,                 64.738,                 0.4837,             0.00036451,             0.00036451,             0.00036451
                     71,                 6.1305,                 8.2314,                 2.6353,                      0,                      0,                      0,                      0,                0.93794,                 64.738,                 0.4837,             0.00035824,             0.00035824,             0.00035824
                     72,                 6.0446,                  8.347,                 2.4734,                      0,                      0,                      0,                      0,                0.79919,                 63.828,                0.41898,             0.00035164,             0.00035164,             0.00035164
                     73,                 5.6225,                 6.1314,                 2.4752,                      0,                      0,                      0,                      0,                0.79919,                 63.828,                0.41898,             0.00034471,             0.00034471,             0.00034471
                     74,                 5.4496,                 5.7553,                 2.2375,                      0,                      0,                      0,                      0,                0.79919,                 63.828,                0.41898,             0.00033745,             0.00033745,             0.00033745
                     75,                 5.2025,                 5.5768,                 2.1385,                      0,                      0,                      0,                      0,                0.51774,                 61.794,                0.28385,             0.00032986,             0.00032986,             0.00032986
                     76,                 4.6279,                 5.4184,                 2.0095,                      0,                      0,                      0,                      0,                0.51774,                 61.794,                0.28385,             0.00032194,             0.00032194,             0.00032194
                     77,                 4.5068,                 5.0049,                 2.1421,                      0,                      0,                      0,                      0,                0.51774,                 61.794,                0.28385,             0.00031369,             0.00031369,             0.00031369
                     78,                 4.7047,                 5.0606,                 2.2312,                      0,                      0,                      0,                      0,                 0.3946,                 60.025,                0.22276,             0.00030511,             0.00030511,             0.00030511
                     79,                 4.3697,                  7.961,                 2.2748,                      0,                      0,                      0,                      0,                 0.3946,                 60.025,                0.22276,              0.0002962,              0.0002962,              0.0002962
                     80,                 4.7643,                 5.0114,                 2.2039,                      0,                      0,                      0,                      0,                 0.3946,                 60.025,                0.22276,             0.00028696,             0.00028696,             0.00028696
                     81,                 5.9892,                  14.22,                 2.4901,                      0,                      0,                      0,                      0,                0.35316,                 58.871,                0.20154,             0.00027739,             0.00027739,             0.00027739
                     82,                 4.7642,                 5.3244,                 2.0661,                      0,                      0,                      0,                      0,                0.35316,                 58.871,                0.20154,             0.00026749,             0.00026749,             0.00026749
                     83,                 4.6665,                 5.0959,                 1.9709,                      0,                      0,                      0,                      0,                0.35316,                 58.871,                0.20154,             0.00025726,             0.00025726,             0.00025726
                     84,                 4.5238,                 5.3209,                 2.3925,                      0,                      0,                      0,                      0,                0.34703,                 58.208,                0.19816,              0.0002467,              0.0002467,              0.0002467
                     85,                 5.5864,                 6.0498,                 2.0545,                      0,                      0,                      0,                      0,                0.34703,                 58.208,                0.19816,             0.00023581,             0.00023581,             0.00023581
                     86,                 4.3662,                 4.8753,                 2.1414,                      0,                      0,                      0,                      0,                0.34703,                 58.208,                0.19816,             0.00022459,             0.00022459,             0.00022459
                     87,                 4.4733,                 4.6977,                 2.1331,                      0,                      0,                      0,                      0,                0.34703,                 58.208,                0.19816,             0.00021304,             0.00021304,             0.00021304
                     88,                 3.8326,                 5.3435,                 2.0155,                      0,                      0,                      0,                      0,                0.36554,                 58.061,                0.20744,             0.00020116,             0.00020116,             0.00020116
                     89,                 4.5903,                 5.3591,                 1.8632,                      0,                      0,                      0,                      0,                0.36554,                 58.061,                0.20744,             0.00018894,             0.00018894,             0.00018894
                     90,                 5.1599,                  5.298,                 2.0915,                      0,                      0,                      0,                      0,                0.36554,                 58.061,                0.20744,              0.0001764,              0.0001764,              0.0001764
                     91,                 5.4215,                 7.5693,                 2.2463,                      0,                      0,                      0,                      0,                0.36554,                 58.061,                0.20744,             0.00016353,             0.00016353,             0.00016353
                     92,                 5.0664,                 5.9783,                 2.1296,                      0,                      0,                      0,                      0,                0.39529,                 58.282,                0.22244,             0.00015033,             0.00015033,             0.00015033
                     93,                 4.3659,                 5.4625,                 2.3114,                      0,                      0,                      0,                      0,                0.39529,                 58.282,                0.22244,              0.0001368,              0.0001368,              0.0001368
                     94,                 4.7578,                 5.3342,                 2.4971,                      0,                      0,                      0,                      0,                0.39529,                 58.282,                0.22244,             0.00012294,             0.00012294,             0.00012294
                     95,                 5.3106,                 5.1635,                 2.1733,                      0,                      0,                      0,                      0,                0.39529,                 58.282,                0.22244,             0.00010875,             0.00010875,             0.00010875
                     96,                 5.2387,                 5.0447,                 2.2012,                      0,                      0,                      0,                      0,                0.40165,                 58.412,                0.22548,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                 5.0101,                 4.9353,                 2.1099,                      0,                      0,                      0,                      0,                0.40165,                 58.412,                0.22548,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                 4.4757,                 5.1316,                 1.9278,                      0,                      0,                      0,                      0,                0.40165,                 58.412,                0.22548,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                 4.5537,                 4.7658,                 2.3444,                      0,                      0,                      0,                      0,                0.40165,                 58.412,                0.22548,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                 5.0532,                 4.8284,                 2.3908,                      0,                      0,                      0,                      0,                 0.3994,                  58.32,                0.22417,             3.2842e-05,             3.2842e-05,             3.2842e-05
